1,"Tuonela",1,"Full-length","Relapse Records",1999-03-29
2,"Dark Genesis",4,"Boxed set","Century Media",2002-03-05
3,"Last Fair Deal Gone Down",6,"Full-length","Peaceville Records",2001-05-08
4,"Morning Star",7,"Full-length","Music for Nations",2001-09-03
5,"Uprising",7,"Full-length","Music for Nations",2000-03-06
6,"Wolverine Blues",7,"Full-length","Earache",1993-10-00
9,"Battalions of Fear",3,"Full-length","No Remorse Records",1988-05-18
10,"Follow the Blind",3,"Full-length","No Remorse Records",1989-10-25
11,"Tales from the Twilight World",3,"Full-length","No Remorse Records",1990-10-03
12,"Somewhere Far Beyond",3,"Full-length","Virgin Records",1992-06-29
13,"Tokyo Tales",3,"Live album","Virgin Records",1993-03-22
14,"A Past and Future Secret",3,"Single","Virgin Records",1995-02-06
15,"Mr. Sandman",3,"Single","Virgin Records",1995-00-00
16,"Imaginations from the Other Side",3,"Full-length","Virgin Records",1995-04-05
17,"The Forgotten Tales",3,"Compilation","Virgin Records",1996-04-18
18,"Mirror Mirror",3,"Single","Virgin Records",1998-02-07
19,"Nightfall in Middle-Earth",3,"Full-length","Virgin Records",1998-04-24
20,"And Then There Was Silence",3,"Single","Virgin Records",2001-11-12
21,"A Night at the Opera",3,"Full-length","Virgin Records",2002-03-01
22,"The Gallery",8,"Full-length","Osmose Productions",1995-11-27
23,"Haven",8,"Full-length","Century Media",2000-07-17
25,"The Mind's I",8,"Full-length","Osmose Productions",1997-04-21
27,"Insanity",9,"Full-length","Nuclear Blast",2001-03-06
28,"Black Earth",10,"Full-length","Wrong Again Records",1996-12-12
29,"Wages of Sin",10,"Full-length","Century Media",2001-04-02
39,"Demo",12,"Demo","N/A",1993-12-00
40,"A Black Moon Broods over Lemuria",12,"Full-length","Cacophonous Records",1995-05-14
41,"Starfire Burning upon the Ice-veiled Throne of Ultima Thule",12,"Full-length","Cacophonous Records",1996-11-25
42,"Battle Magic",12,"Full-length","Cacophonous Records",1998-11-02
43,"The Power Cosmic",12,"Full-length","Nuclear Blast",1999-10-11
44,"Atlantis Ascendant",12,"Full-length","Nuclear Blast",2001-04-17
45,"Heartwork",14,"Full-length","Earache",1993-10-18
46,"Necroticism - Descanting the Insalubrious",14,"Full-length","Earache",1991-10-30
47,"Bath",16,"Full-length","Dark Symphonies",2001-08-07
49,"Forever...",20,"Full-length","VomiT",1996-04-10
50,"Day into Night",20,"Full-length","Hypnotic Records",2000-03-30
51,"Quo Vadis",20,"Demo","VomiT",1995-03-21
52,"Passage in Time",20,"Compilation","Skyscraper Music",2001-09-00
53,"Destroy Erase Improve",21,"Full-length","Nuclear Blast",1995-07-25
54,"Chaosphere",21,"Full-length","Nuclear Blast",1998-11-10
